City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,-6.97,91,40,4.12,US,1701212455
1,sar-e pul,35.8333,66.1667,10.33,31,100,1.11,AF,1701212457
2,chul'man,56.8479,124.9104,-17.2,95,100,6.18,RU,1701212459
3,enewetak,11.3474,162.3373,27.8,71,64,10.13,MH,1701212461
4,saint-francois,46.4154,3.9054,0.69,93,100,0.51,FR,1701212462
5,belek,36.8628,31.0556,14.4,58,96,3.47,TR,1701212464
6,namibe,-15.1961,12.1522,23.36,79,95,0.71,AO,1701212465
7,port elizabeth,-33.918,25.5701,17.4,82,20,8.23,ZA,1701212467
8,conception bay south,47.4999,-52.9981,9.69,97,100,11.4,CA,1701212469
9,kempsey,-31.0833,152.8333,24.41,81,100,3.58,AU,1701212470
10,malakal,9.5334,31.6605,27.76,28,97,2.36,SS,1701212472
11,mount pearl,47.5166,-52.7813,9.36,98,100,14.92,CA,1701212474
12,grytviken,-54.2811,-36.5092,-0.41,66,32,4.28,GS,1701212478
13,olonkinbyen,70.9221,-8.7187,1.75,79,100,2.78,SJ,1701212480
14,nueve de julio,-35.4444,-60.8831,29.98,51,67,1.79,AR,1701212483
15,port-aux-francais,-49.35,70.2167,5.47,98,100,10.51,TF,1701212480
16,port mathurin,-19.6833,63.4167,24.79,73,17,4.01,MU,1701212486
17,puerto natales,-51.7236,-72.4875,7.29,67,34,2.92,CL,1701212489
18,coyhaique,-45.5752,-72.0662,10.34,71,75,4.12,CL,1701212491
19,udachny,66.4167,112.4,-17.53,84,100,10.45,RU,1701212494
20,ribeira grande,38.5167,-28.7,19.32,96,100,3.13,PT,1701212497
21,invercargill,-46.4,168.35,11.12,69,90,6.26,NZ,1701212498
22,georgetown,5.4112,100.3354,26.12,89,20,1.03,MY,1701212500
23,blackmans bay,-43.0167,147.3167,15.07,70,87,0.45,AU,1701212502
24,miasskoye,55.2784,61.8905,-1.51,95,100,1.95,RU,1701212503
25,qaqortoq,60.7167,-46.0333,-7.25,71,100,3.51,GL,1701212505
26,hamilton,39.1834,-84.5333,-3.03,60,0,2.06,US,1701212153
27,albany,42.6001,-73.9662,-1.7,75,55,0.45,US,1701212491
28,isafjordur,66.0755,-23.124,0.18,94,100,1.58,IS,1701212513
